wmo;origin;name;latin;elevation;lat;lng;eol
041840;5872;Teigarhorn;Teigarhorn;20.700000762939453;64.6757;14.3444;
049520;6235;Tindfjöll;Tindfjoll;870.0;63.7757;19.6773;
048370;34700;Tjörnes - Gerðibrekka;Tjornes - Gerdibrekka;93.0;66.1487;16.9752;
049610;3371;Torfur;Torfur;25.790000915527344;65.501;18.1616;
041770;4019;Upptyppingar;Upptyppingar;563.0;65.0607;16.2104;
041630;3474;Vaðlaheiði;Vadlaheidi;580.0;65.7485;18.0011;
048100;31948;Vatnaleið;Vatnaleid;226.0;64.9095;22.8649;
049500;6546;Vatnsfell;Vatnsfell;539.5;64.1956;19.0467;
048530;33431;Vatnsskarð;Vatnsskard;420.0;65.5085;19.6945;
048950;34382;Vatnsskarð eystra;Vatnsskard eystra;430.0;65.5623;13.9897;
040580;802;Vatnsskarðshólar;Vatnsskardsholar;20.0;63.4236;19.183;
041640;6045;Vatnsskarðshólar;Vatnsskardsholar;20.0;63.4236;19.183;
041880;5988;Vattarnes;Vattarnes;5.0;64.937;13.6846;
041620;6657;Veiðivatnahraun;Veidivatnahraun;647.0;64.3951;18.5048;
041460;6015;Vestmannaeyjabær;Vestmannaeyjabaer;40.400001525878906;63.4359;20.2758;
041410;3477;Végeirsstaðir í Fnjóskadal;Vegeirsstadir i Fnjoskadal;120.0;65.817;17.8857;
048650;33576;Víkurskarð;Vikurskard;325.0;65.813;17.991;
048790;34348;Vopnafjarðarheiði;Vopnafjardarheidi;440.0;65.5947;15.3158;
049670;4500;Þeistareykir;peistareykir;311.0;65.911;16.9762;
041420;1596;Þingvellir;pingvellir;110.0;64.2807;21.0875;
049400;36308;Þjórsárbrú;pjorsarbru;49.0;63.9306;20.6653;
049790;5969;Þórdalsheiði;pordalsheidi;500.0;65.0009;14.4625;
048580;31387;Þrengsli;prengsli;260.0;63.9876;21.4633;
049160;32377;Þröskuldar;proskuldar;370.0;65.5524;21.833;
041600;6760;Þúfuver;pufuver;613.0;64.5751;18.6008;
048410;33424;Þverárfjall;pverarfjall;330.0;65.7801;20.0186;
-00990;10002;Þverfellshorn á Esju;pverfellshorn a Esju;780.0;64.2328;21.7117;
041090;2636;Þverfjall;pverfjall;753.0;66.0444;23.3074;
041440;6208;Þykkvibær;pykkvibaer;10.0;63.7477;20.6182;
048060;1685;Þyrill;pyrill;53.0;64.3877;21.4169;
040170;2655;Æðey;AEdey;21.0;66.1006;22.6594;
048130;32654;Ögur;Ogur;40.0;66.0449;22.6817;
048640;1493;Ölkelduháls;Olkelduhals;360.0;64.0553;21.2532;
049380;6134;Önundarhorn;Onundarhorn;12.0;63.5242;19.6357;
048780;35305;Öræfi;Oraefi;75.0;63.9387;16.7959;
049760;35963;Öxi;Oxi;531.0;64.8257;14.6573;
